from,to,t0,c0,lanes,initial_SR,initial_FR
0,5,7,70,2,-1,-1
5,0,7,70,2,-1,-1
0,8,46,35,2,-1,-1
8,0,46,35,2,-1,-1
0,13,30,82,2,-1,-1
13,0,30,82,2,-1,-1
0,14,15,61,2,-1,-1
14,0,15,61,2,-1,-1
0,17,15,67,2,-1,-1
17,0,15,67,2,-1,-1
0,22,24,56,2,-1,-1
22,0,24,56,2,-1,-1
0,23,19,0,2,-1,-1
23,0,19,0,2,-1,-1
0,31,29,38,2,-1,-1
31,0,29,38,2,-1,-1
0,32,14,78,2,-1,-1
32,0,14,78,2,-1,-1
1,3,10,49,2,-1,-1
3,1,10,49,2,-1,-1
1,4,10,41,2,-1,-1
4,1,10,41,2,-1,-1
1,5,37,39,2,-1,-1
5,1,37,39,2,-1,-1
1,7,24,42,2,-1,-1
7,1,24,42,2,-1,-1
1,8,15,47,2,-1,-1
8,1,15,47,2,-1,-1
1,12,6,52,2,-1,-1
12,1,6,52,2,-1,-1
1,13,18,73,2,-1,-1
13,1,18,73,2,-1,-1
1,28,19,53,2,-1,-1
28,1,19,53,2,-1,-1
2,11,47,52,2,-1,-1
11,2,47,52,2,-1,-1
2,13,20,53,2,-1,-1
13,2,20,53,2,-1,-1
2,16,23,66,2,-1,-1
16,2,23,66,2,-1,-1
2,20,3,61,2,-1,-1
20,2,3,61,2,-1,-1
2,21,22,76,2,-1,-1
21,2,22,76,2,-1,-1
2,22,19,54,2,-1,-1
22,2,19,54,2,-1,-1
2,26,41,43,2,-1,-1
26,2,41,43,2,-1,-1
2,31,29,71,2,-1,-1
31,2,29,71,2,-1,-1
3,9,16,46,2,-1,-1
9,3,16,46,2,-1,-1
3,12,17,51,2,-1,-1
12,3,17,51,2,-1,-1
3,13,10,49,2,-1,-1
13,3,10,49,2,-1,-1
3,15,25,48,2,-1,-1
15,3,25,48,2,-1,-1
3,17,23,57,2,-1,-1
17,3,23,57,2,-1,-1
3,18,13,37,2,-1,-1
18,3,13,37,2,-1,-1
3,22,19,21,2,-1,-1
22,3,19,21,2,-1,-1
3,24,8,45,2,-1,-1
24,3,8,45,2,-1,-1
3,25,23,57,2,-1,-1
25,3,23,57,2,-1,-1
3,28,17,30,2,-1,-1
28,3,17,30,2,-1,-1
4,6,19,27,2,-1,-1
6,4,19,27,2,-1,-1
4,7,33,64,2,-1,-1
7,4,33,64,2,-1,-1
4,12,16,50,2,-1,-1
12,4,16,50,2,-1,-1
4,14,30,31,2,-1,-1
14,4,30,31,2,-1,-1
4,15,31,46,2,-1,-1
15,4,31,46,2,-1,-1
4,17,30,89,2,-1,-1
17,4,30,89,2,-1,-1
4,18,20,61,2,-1,-1
18,4,20,61,2,-1,-1
4,19,32,55,2,-1,-1
19,4,32,55,2,-1,-1
4,22,28,27,2,-1,-1
22,4,28,27,2,-1,-1
4,27,26,26,2,-1,-1
27,4,26,26,2,-1,-1
4,28,9,59,2,-1,-1
28,4,9,59,2,-1,-1
5,11,20,11,2,-1,-1
11,5,20,11,2,-1,-1
5,13,25,44,2,-1,-1
13,5,25,44,2,-1,-1
5,16,20,72,2,-1,-1
16,5,20,72,2,-1,-1
5,18,33,70,2,-1,-1
18,5,33,70,2,-1,-1
5,19,40,75,2,-1,-1
19,5,40,75,2,-1,-1
5,20,38,49,2,-1,-1
20,5,38,49,2,-1,-1
5,21,39,22,2,-1,-1
21,5,39,22,2,-1,-1
5,22,18,37,2,-1,-1
22,5,18,37,2,-1,-1
5,24,43,32,2,-1,-1
24,5,43,32,2,-1,-1
5,32,11,36,2,-1,-1
32,5,11,36,2,-1,-1
6,8,13,39,2,-1,-1
8,6,13,39,2,-1,-1
6,12,35,47,2,-1,-1
12,6,35,47,2,-1,-1
6,13,23,75,2,-1,-1
13,6,23,75,2,-1,-1
6,14,42,13,2,-1,-1
14,6,42,13,2,-1,-1
6,16,42,26,2,-1,-1
16,6,42,26,2,-1,-1
6,18,16,70,2,-1,-1
18,6,16,70,2,-1,-1
6,20,24,24,2,-1,-1
20,6,24,24,2,-1,-1
6,21,43,50,2,-1,-1
21,6,43,50,2,-1,-1
6,22,30,45,2,-1,-1
22,6,30,45,2,-1,-1
6,24,12,41,2,-1,-1
24,6,12,41,2,-1,-1
6,27,13,44,2,-1,-1
27,6,13,44,2,-1,-1
