x,y,SR_demand,exits,injured
0.28376287747703033,0.684772970276113,112,0,1
0.7801588532011569,0.7000009674760677,104,0,1
0.4229144153904264,0.6023419159279148,90,0,1
0.4151382290811325,0.7948136883067706,113,0,1
0.41461070147107604,0.012450669657066982,83,0,1
0.08599342619200878,0.11215392970937954,107,0,1
0.7286336351183207,0.6965107283498001,92,0,1
0.8087277379394999,0.5581716763170064,92,0,1
0.2070491962885911,0.6887416381361755,112,0,1
0.7188978536481075,0.9824971001311789,99,0,1
0.6836298474532446,0.18616652433530245,101,0,1
0.06012630095933458,0.03571164911430158,88,0,1
0.018305751644808632,0.6671971894064465,111,0,1
0.2165662391640727,0.3498036300003432,106,0,1
0.3964308013869221,0.8949162265863985,121,0,1
0.3935508461713908,0.9942817712139548,92,0,1
0.5236606943338217,0.8324332581637338,102,0,1
0.624722954613861,0.429129182002867,98,0,1
0.8568085014162017,0.271149410200031,111,0,1
0.4903137830154781,0.1843628064516385,96,0,1
0.04127871972004171,0.5267380502399088,92,0,1
0.3615553636444103,0.6267177973911924,89,0,1
0.014162138751136366,0.7447260591418335,87,0,1
0.018504971270591697,0.26731631267378364,107,0,1
0.1816594485574976,0.49206647739133247,104,0,1
0.4832571347357999,0.928683959383603,112,0,1
0.3172511092378957,0.6542564779238206,99,0,1
0.0,0.0,0,1,0
0.3333333333333333,0.0,0,1,0
0.6666666666666666,0.0,0,1,0
0.0,1.0,0,1,0
0.3333333333333333,1.0,0,1,0
0.6666666666666666,1.0,0,1,0
