from,to,t0,c0,lanes,initial_SR,initial_FR
0,4,43,14,2,-1,-1
4,0,43,14,2,-1,-1
0,5,8,87,2,-1,-1
5,0,8,87,2,-1,-1
0,6,13,46,2,-1,-1
6,0,13,46,2,-1,-1
0,7,47,55,2,-1,-1
7,0,47,55,2,-1,-1
0,10,67,28,2,-1,-1
10,0,67,28,2,-1,-1
1,7,5,56,2,-1,-1
7,1,5,56,2,-1,-1
1,8,39,48,2,-1,-1
8,1,39,48,2,-1,-1
1,9,64,18,2,-1,-1
9,1,64,18,2,-1,-1
1,10,27,72,2,-1,-1
10,1,27,72,2,-1,-1
2,4,50,62,2,-1,-1
4,2,50,62,2,-1,-1
2,5,31,63,2,-1,-1
5,2,31,63,2,-1,-1
2,8,7,58,2,-1,-1
8,2,7,58,2,-1,-1
2,10,36,32,2,-1,-1
10,2,36,32,2,-1,-1
3,5,6,45,2,-1,-1
5,3,6,45,2,-1,-1
3,6,14,44,2,-1,-1
6,3,14,44,2,-1,-1
3,9,37,38,2,-1,-1
9,3,37,38,2,-1,-1
4,5,36,55,2,-1,-1
5,4,36,55,2,-1,-1
4,6,31,61,2,-1,-1
6,4,31,61,2,-1,-1
4,7,20,59,2,-1,-1
7,4,20,59,2,-1,-1
4,9,71,49,2,-1,-1
9,4,71,49,2,-1,-1
6,8,47,85,2,-1,-1
8,6,47,85,2,-1,-1
6,9,51,74,2,-1,-1
9,6,51,74,2,-1,-1
8,9,28,69,2,-1,-1
9,8,28,69,2,-1,-1
8,10,31,27,2,-1,-1
10,8,31,27,2,-1,-1
