from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,19,46,2,-1,-1
1,0,19,46,2,-1,-1
0,2,13,40,2,-1,-1
2,0,13,40,2,-1,-1
0,4,22,34,2,-1,-1
4,0,22,34,2,-1,-1
0,7,21,45,2,-1,-1
7,0,21,45,2,-1,-1
0,9,15,42,2,-1,-1
9,0,15,42,2,-1,-1
0,10,23,39,2,-1,-1
10,0,23,39,2,-1,-1
0,11,28,78,2,-1,-1
11,0,28,78,2,-1,-1
0,12,15,25,2,-1,-1
12,0,15,25,2,-1,-1
0,13,11,44,2,-1,-1
13,0,11,44,2,-1,-1
0,16,32,49,2,-1,-1
16,0,32,49,2,-1,-1
0,20,12,67,2,-1,-1
20,0,12,67,2,-1,-1
0,21,30,56,2,-1,-1
21,0,30,56,2,-1,-1
0,23,38,25,2,-1,-1
23,0,38,25,2,-1,-1
0,24,45,51,2,-1,-1
24,0,45,51,2,-1,-1
0,25,37,26,2,-1,-1
25,0,37,26,2,-1,-1
0,26,35,61,2,-1,-1
26,0,35,61,2,-1,-1
0,28,34,56,2,-1,-1
28,0,34,56,2,-1,-1
0,30,31,33,2,-1,-1
30,0,31,33,2,-1,-1
0,32,33,68,2,-1,-1
32,0,33,68,2,-1,-1
1,5,40,45,2,-1,-1
5,1,40,45,2,-1,-1
1,6,18,49,2,-1,-1
6,1,18,49,2,-1,-1
1,9,32,67,2,-1,-1
9,1,32,67,2,-1,-1
1,12,11,54,2,-1,-1
12,1,11,54,2,-1,-1
1,13,30,58,2,-1,-1
13,1,30,58,2,-1,-1
1,15,25,40,2,-1,-1
15,1,25,40,2,-1,-1
1,17,35,53,2,-1,-1
17,1,35,53,2,-1,-1
1,18,32,0,2,-1,-1
18,1,32,0,2,-1,-1
1,20,31,46,2,-1,-1
20,1,31,46,2,-1,-1
1,22,10,78,2,-1,-1
22,1,10,78,2,-1,-1
1,23,20,83,2,-1,-1
23,1,20,83,2,-1,-1
1,24,26,72,2,-1,-1
24,1,26,72,2,-1,-1
1,27,46,45,2,-1,-1
27,1,46,45,2,-1,-1
2,3,50,58,2,-1,-1
3,2,50,58,2,-1,-1
2,5,33,26,2,-1,-1
5,2,33,26,2,-1,-1
2,6,16,17,2,-1,-1
6,2,16,17,2,-1,-1
2,7,8,36,2,-1,-1
7,2,8,36,2,-1,-1
2,8,38,68,2,-1,-1
8,2,38,68,2,-1,-1
2,12,25,87,2,-1,-1
12,2,25,87,2,-1,-1
2,13,5,83,2,-1,-1
13,2,5,83,2,-1,-1
2,15,57,50,2,-1,-1
15,2,57,50,2,-1,-1
2,16,45,41,2,-1,-1
16,2,45,41,2,-1,-1
2,17,31,28,2,-1,-1
17,2,31,28,2,-1,-1
2,19,36,81,2,-1,-1
19,2,36,81,2,-1,-1
2,20,3,75,2,-1,-1
20,2,3,75,2,-1,-1
2,21,35,67,2,-1,-1
21,2,35,67,2,-1,-1
2,28,43,50,2,-1,-1
28,2,43,50,2,-1,-1
3,4,54,13,2,-1,-1
4,3,54,13,2,-1,-1
3,5,36,78,2,-1,-1
5,3,36,78,2,-1,-1
3,8,28,58,2,-1,-1
8,3,28,58,2,-1,-1
