from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,10.1,320,3,-1,-1
1,2,8.2,270,3,-1,-1
1,3,2.1,80,3,-1,-1
3,4,7.8,250,3,-1,-1
4,5,3.7,130,3,-1,-1
6,7,9.7,310,3,-1,-1
7,8,2.3,90,3,-1,-1
8,9,3,110,3,-1,-1
7,10,5.8,190,3,-1,-1
4,11,6.1,200,3,-1,-1
11,12,2.5,90,3,-1,-1
8,11,8.1,260,3,-1,-1
11,13,1.9,80,3,-1,-1
3,12,6.5,210,3,-1,-1
9,12,6.2,200,3,-1,-1
9,14,7.4,240,3,-1,-1
14,15,2,80,3,-1,-1
14,16,3.9,140,3,-1,-1
14,17,3.1,110,3,-1,-1
3,18,8.9,280,3,-1,-1
18,19,1.2,50,3,-1,-1
19,20,6.2,200,3,-1,-1
20,21,6.1,200,3,-1,-1
21,22,1.8,70,3,-1,-1
9,21,9,290,3,-1,-1
18,23,4,140,3,-1,-1
23,24,2.7,100,3,-1,-1
24,25,3.5,130,3,-1,-1
25,26,6.3,210,3,-1,-1
25,27,6.5,210,3,-1,-1
26,28,1.5,60,3,-1,-1
23,29,1.8,70,3,-1,-1
23,30,5.9,200,3,-1,-1
30,31,2,80,3,-1,-1
30,32,1.8,70,3,-1,-1
19,32,3.5,120,3,-1,-1
32,33,3.2,120,3,-1,-1
34,35,2.1,130,4,-1,-1
27,35,3,180,4,-1,-1
26,27,2.4,150,4,-1,-1
28,31,3.8,230,4,-1,-1
31,33,1.4,90,4,-1,-1
20,33,1.9,120,4,-1,-1
20,22,4.7,280,4,-1,-1
22,36,4.7,280,4,-1,-1
17,36,5.8,190,3,-1,-1
16,17,4.9,170,3,-1,-1
16,37,9.7,310,3,-1,-1
36,38,2.4,150,4,-1,-1
38,39,8.8,510,4,-1,-1
39,40,1.9,120,4,-1,-1
40,41,1.4,100,4,-1,-1
41,42,2.8,180,4,-1,-1
42,43,7.5,440,4,-1,-1
37,40,7.9,260,3,-1,-1
37,44,2,80,3,-1,-1
44,45,3.2,110,3,-1,-1
37,45,3.3,120,3,-1,-1
45,46,16.2,500,3,-1,-1
46,47,1.9,80,3,-1,-1
46,48,7.7,250,3,-1,-1
46,49,4.7,160,3,-1,-1
39,50,6.1,200,3,-1,-1
40,51,5.8,190,3,-1,-1
41,52,5.3,180,3,-1,-1
42,53,3.9,140,3,-1,-1
43,47,6,350,4,-1,-1
47,49,2.5,160,4,-1,-1
49,54,6,350,4,-1,-1
54,55,13,750,4,-1,-1
55,56,9.3,540,4,-1,-1
56,57,4.6,270,4,-1,-1
57,58,6.7,400,4,-1,-1
55,59,8.8,280,3,-1,-1
59,60,4.7,160,3,-1,-1
60,61,10.4,330,3,-1,-1
59,62,1.4,60,3,-1,-1
62,63,1.9,80,3,-1,-1
62,64,3.3,120,3,-1,-1
63,64,4.2,140,3,-1,-1
56,65,3.4,120,3,-1,-1
65,66,5.8,190,3,-1,-1
66,67,6.8,220,3,-1,-1
57,65,6.2,210,3,-1,-1
65,68,4.1,140,3,-1,-1
60,68,6.4,210,3,-1,-1
66,68,5.8,190,3,-1,-1
68,69,3.5,120,3,-1,-1
54,70,10,320,3,-1,-1
35,71,13.3,420,3,-1,-1
72,73,3.3,120,3,-1,-1
73,74,14.3,450,3,-1,-1
26,73,2,80,3,-1,-1
73,75,1.2,60,3,-1,-1
75,76,5.8,190,3,-1,-1
75,77,11.8,370,3,-1,-1
77,78,1.6,70,3,-1,-1
22,79,7.7,250,3,-1,-1
22,74,3,110,3,-1,-1
74,80,4.2,140,3,-1,-1
80,81,4,140,3,-1,-1
80,82,4.2,140,3,-1,-1
77,83,5.4,180,3,-1,-1
80,83,1.7,70,3,-1,-1
83,84,3.5,120,3,-1,-1
84,85,2.2,80,3,-1,-1
79,84,7.8,250,3,-1,-1
84,86,3.1,110,3,-1,-1
50,87,13.8,430,3,-1,-1
50,51,2.8,100,3,-1,-1
51,52,1.5,60,3,-1,-1
52,53,3.9,130,3,-1,-1
43,53,8.7,280,3,-1,-1
38,87,9.7,310,3,-1,-1
36,79,4.1,140,3,-1,-1
79,88,3.5,130,3,-1,-1
88,89,2.6,100,3,-1,-1
89,90,7.6,250,3,-1,-1
71,91,12.4,390,3,-1,-1
71,92,13.4,420,3,-1,-1
93,94,12.2,380,3,-1,-1
93,95,5.7,190,3,-1,-1
93,96,7.9,250,3,-1,-1
78,96,3.5,120,3,-1,-1
78,86,2.7,100,3,-1,-1
85,86,3.1,110,3,-1,-1
85,88,4.8,160,3,-1,-1
96,97,6,200,3,-1,-1
86,92,2.5,100,3,-1,-1
92,98,4.9,170,3,-1,-1
98,99,3.8,130,3,-1,-1
99,100,18.7,580,3,-1,-1
89,101,6.4,210,3,-1,-1
86,101,2,80,3,-1,-1
98,101,3.2,110,3,-1,-1
87,102,7.7,250,3,-1,-1
99,102,2.2,80,3,-1,-1
99,103,13.5,420,3,-1,-1
90,104,14.9,460,3,-1,-1
90,102,3.1,110,3,-1,-1
105,107,14.3,450,3,-1,-1
106,107,4.9,160,3,-1,-1
107,108,2,80,3,-1,-1
103,110,5.3,320,4,-1,-1
109,110,20.6,1180,4,-1,-1
108,110,4.5,150,3,-1,-1
108,111,16.8,520,3,-1,-1
103,104,7.5,440,4,-1,-1
104,112,3.8,230,4,-1,-1
112,113,9.2,530,4,-1,-1
103,114,6.9,230,3,-1,-1
114,115,9.8,310,3,-1,-1
115,116,11.8,370,3,-1,-1
115,117,3.8,130,3,-1,-1
115,118,3,110,3,-1,-1
118,119,5,170,3,-1,-1
119,120,4.4,150,3,-1,-1
118,121,3.9,140,3,-1,-1
119,122,4.2,140,3,-1,-1
114,120,3.7,130,3,-1,-1
120,123,11.1,350,3,-1,-1
112,123,2.1,80,3,-1,-1
123,124,7,230,3,-1,-1
113,125,12,380,3,-1,-1
125,126,3,110,3,-1,-1
125,127,9.1,290,3,-1,-1
113,128,18.5,1060,4,-1,-1
129,130,13.7,430,3,-1,-1
128,129,6.7,220,3,-1,-1
129,131,9,290,3,-1,-1
132,133,6.8,220,3,-1,-1
133,134,8.1,260,3,-1,-1
133,135,8.7,280,3,-1,-1
133,136,8.1,260,3,-1,-1
137,138,19.2,590,3,-1,-1
128,132,3.1,110,3,-1,-1
132,135,5.1,170,3,-1,-1
135,137,5,170,3,-1,-1
137,139,7.9,260,3,-1,-1
139,140,4.3,150,3,-1,-1
128,141,3.7,230,4,-1,-1
141,142,2.3,140,4,-1,-1
142,143,7.4,430,4,-1,-1
140,143,7.4,430,4,-1,-1
140,144,6.9,410,4,-1,-1
139,145,7.1,230,3,-1,-1
140,145,6.4,210,3,-1,-1
145,146,5.3,180,3,-1,-1
146,147,4.6,160,3,-1,-1
144,148,11.9,380,3,-1,-1
146,148,5.3,180,3,-1,-1
148,149,3.1,110,3,-1,-1
149,150,5.6,190,3,-1,-1
149,151,8.4,270,3,-1,-1
141,152,11.1,350,3,-1,-1
142,152,10.7,340,3,-1,-1
152,153,8.1,260,3,-1,-1
143,154,13.2,410,3,-1,-1
140,155,7.5,240,3,-1,-1
155,156,1.8,70,3,-1,-1
156,157,4.2,140,3,-1,-1
153,154,4.8,160,3,-1,-1
154,158,7.3,240,3,-1,-1
156,158,6.9,230,3,-1,-1
153,159,9,290,3,-1,-1
155,160,9.1,290,3,-1,-1
158,161,5.3,180,3,-1,-1
161,162,5.1,170,3,-1,-1
156,161,5,170,3,-1,-1
161,163,4.7,160,3,-1,-1
153,164,6.7,220,3,-1,-1
162,165,3.4,120,3,-1,-1
162,166,2.1,80,3,-1,-1
163,165,3.1,110,3,-1,-1
165,167,6.2,200,3,-1,-1
167,168,6.8,220,3,-1,-1
163,168,4.2,140,3,-1,-1
168,169,10.9,350,3,-1,-1
163,164,5.9,200,3,-1,-1
