from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,36,23,2,-1,-1
1,0,36,23,2,-1,-1
0,2,37,57,2,-1,-1
2,0,37,57,2,-1,-1
0,4,33,57,2,-1,-1
4,0,33,57,2,-1,-1
0,5,31,62,2,-1,-1
5,0,31,62,2,-1,-1
0,10,31,104,2,-1,-1
10,0,31,104,2,-1,-1
1,2,4,65,2,-1,-1
2,1,4,65,2,-1,-1
1,3,47,79,2,-1,-1
3,1,47,79,2,-1,-1
1,5,67,47,2,-1,-1
5,1,67,47,2,-1,-1
1,6,71,53,2,-1,-1
6,1,71,53,2,-1,-1
1,8,47,52,2,-1,-1
8,1,47,52,2,-1,-1
1,9,5,23,2,-1,-1
9,1,5,23,2,-1,-1
1,10,54,44,2,-1,-1
10,1,54,44,2,-1,-1
2,3,45,60,2,-1,-1
3,2,45,60,2,-1,-1
2,6,70,64,2,-1,-1
6,2,70,64,2,-1,-1
2,8,43,101,2,-1,-1
8,2,43,101,2,-1,-1
2,9,5,77,2,-1,-1
9,2,5,77,2,-1,-1
3,7,18,41,2,-1,-1
7,3,18,41,2,-1,-1
3,8,26,57,2,-1,-1
8,3,26,57,2,-1,-1
4,5,27,33,2,-1,-1
5,4,27,33,2,-1,-1
4,6,17,51,2,-1,-1
6,4,17,51,2,-1,-1
4,7,29,39,2,-1,-1
7,4,29,39,2,-1,-1
4,8,29,32,2,-1,-1
8,4,29,32,2,-1,-1
4,9,62,48,2,-1,-1
9,4,62,48,2,-1,-1
5,6,16,74,2,-1,-1
6,5,16,74,2,-1,-1
5,7,29,39,2,-1,-1
7,5,29,39,2,-1,-1
6,7,36,29,2,-1,-1
7,6,36,29,2,-1,-1
6,9,76,43,2,-1,-1
9,6,76,43,2,-1,-1
7,8,40,51,2,-1,-1
8,7,40,51,2,-1,-1
7,9,43,65,2,-1,-1
9,7,43,65,2,-1,-1
7,10,34,57,2,-1,-1
10,7,34,57,2,-1,-1
8,9,48,77,2,-1,-1
9,8,48,77,2,-1,-1
9,10,60,0,2,-1,-1
10,9,60,0,2,-1,-1
