from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,4,43,2,-1,-1
2,0,4,43,2,-1,-1
0,5,11,59,2,-1,-1
5,0,11,59,2,-1,-1
0,8,20,86,2,-1,-1
8,0,20,86,2,-1,-1
0,17,21,48,2,-1,-1
17,0,21,48,2,-1,-1
1,10,6,25,2,-1,-1
10,1,6,25,2,-1,-1
2,15,20,39,2,-1,-1
15,2,20,39,2,-1,-1
2,19,16,54,2,-1,-1
19,2,16,54,2,-1,-1
3,4,13,57,2,-1,-1
4,3,13,57,2,-1,-1
3,5,27,80,2,-1,-1
5,3,27,80,2,-1,-1
3,12,23,26,2,-1,-1
12,3,23,26,2,-1,-1
8,11,7,54,2,-1,-1
11,8,7,54,2,-1,-1
9,10,3,48,2,-1,-1
10,9,3,48,2,-1,-1
9,11,19,104,2,-1,-1
11,9,19,104,2,-1,-1
9,17,26,84,2,-1,-1
17,9,26,84,2,-1,-1
11,18,23,53,2,-1,-1
18,11,23,53,2,-1,-1
