from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,15,57,2,-1,-1
1,0,15,57,2,-1,-1
0,3,52,64,2,-1,-1
3,0,52,64,2,-1,-1
0,4,54,69,2,-1,-1
4,0,54,69,2,-1,-1
0,5,25,75,2,-1,-1
5,0,25,75,2,-1,-1
0,12,18,60,2,-1,-1
12,0,18,60,2,-1,-1
0,14,49,76,2,-1,-1
14,0,49,76,2,-1,-1
0,16,29,83,2,-1,-1
16,0,29,83,2,-1,-1
0,18,7,81,2,-1,-1
18,0,7,81,2,-1,-1
0,21,60,61,2,-1,-1
21,0,60,61,2,-1,-1
1,2,12,44,2,-1,-1
2,1,12,44,2,-1,-1
1,3,38,42,2,-1,-1
3,1,38,42,2,-1,-1
1,6,46,40,2,-1,-1
6,1,46,40,2,-1,-1
1,7,28,54,2,-1,-1
7,1,28,54,2,-1,-1
1,8,48,36,2,-1,-1
8,1,48,36,2,-1,-1
1,12,16,53,2,-1,-1
12,1,16,53,2,-1,-1
1,15,49,73,2,-1,-1
15,1,49,73,2,-1,-1
1,16,14,75,2,-1,-1
16,1,14,75,2,-1,-1
1,17,50,55,2,-1,-1
17,1,50,55,2,-1,-1
1,18,22,19,2,-1,-1
18,1,22,19,2,-1,-1
2,5,10,43,2,-1,-1
5,2,10,43,2,-1,-1
2,6,35,47,2,-1,-1
6,2,35,47,2,-1,-1
2,7,16,47,2,-1,-1
7,2,16,47,2,-1,-1
2,8,37,49,2,-1,-1
8,2,37,49,2,-1,-1
2,9,39,76,2,-1,-1
9,2,39,76,2,-1,-1
2,11,39,58,2,-1,-1
11,2,39,58,2,-1,-1
2,12,8,45,2,-1,-1
12,2,8,45,2,-1,-1
2,13,36,58,2,-1,-1
13,2,36,58,2,-1,-1
2,14,35,11,2,-1,-1
14,2,35,11,2,-1,-1
2,16,10,42,2,-1,-1
16,2,10,42,2,-1,-1
2,17,43,66,2,-1,-1
17,2,43,66,2,-1,-1
2,18,29,88,2,-1,-1
18,2,29,88,2,-1,-1
2,20,42,49,2,-1,-1
20,2,42,49,2,-1,-1
3,4,2,35,2,-1,-1
4,3,2,35,2,-1,-1
3,5,28,44,2,-1,-1
5,3,28,44,2,-1,-1
3,7,17,38,2,-1,-1
7,3,17,38,2,-1,-1
3,9,27,81,2,-1,-1
9,3,27,81,2,-1,-1
3,10,10,58,2,-1,-1
10,3,10,58,2,-1,-1
3,13,38,46,2,-1,-1
13,3,38,46,2,-1,-1
3,16,24,23,2,-1,-1
16,3,24,23,2,-1,-1
3,18,60,71,2,-1,-1
18,3,60,71,2,-1,-1
3,20,47,29,2,-1,-1
20,3,47,29,2,-1,-1
4,5,31,83,2,-1,-1
5,4,31,83,2,-1,-1
4,6,39,57,2,-1,-1
6,4,39,57,2,-1,-1
4,9,29,22,2,-1,-1
9,4,29,22,2,-1,-1
4,10,11,52,2,-1,-1
10,4,11,52,2,-1,-1
4,12,39,27,2,-1,-1
12,4,39,27,2,-1,-1
4,15,31,48,2,-1,-1
15,4,31,48,2,-1,-1
5,9,30,53,2,-1,-1
9,5,30,53,2,-1,-1
5,10,20,29,2,-1,-1
10,5,20,29,2,-1,-1
5,12,18,45,2,-1,-1
12,5,18,45,2,-1,-1
5,16,4,46,2,-1,-1
16,5,4,46,2,-1,-1
6,7,26,66,2,-1,-1
7,6,26,66,2,-1,-1
6,11,26,50,2,-1,-1
11,6,26,50,2,-1,-1
6,13,2,49,2,-1,-1
13,6,2,49,2,-1,-1
6,14,4,35,2,-1,-1
14,6,4,35,2,-1,-1
6,15,11,0,2,-1,-1
15,6,11,0,2,-1,-1
6,16,41,74,2,-1,-1
16,6,41,74,2,-1,-1
6,17,52,52,2,-1,-1
17,6,52,52,2,-1,-1
6,20,7,19,2,-1,-1
20,6,7,19,2,-1,-1
7,8,21,42,2,-1,-1
8,7,21,42,2,-1,-1
7,9,37,61,2,-1,-1
9,7,37,61,2,-1,-1
7,10,7,82,2,-1,-1
10,7,7,82,2,-1,-1
7,11,22,25,2,-1,-1
11,7,22,25,2,-1,-1
7,12,21,17,2,-1,-1
12,7,21,17,2,-1,-1
7,15,23,54,2,-1,-1
15,7,23,54,2,-1,-1
7,17,31,18,2,-1,-1
17,7,31,18,2,-1,-1
7,18,46,64,2,-1,-1
18,7,46,64,2,-1,-1
7,19,38,82,2,-1,-1
19,7,38,82,2,-1,-1
7,20,34,51,2,-1,-1
20,7,34,51,2,-1,-1
7,21,22,49,2,-1,-1
21,7,22,49,2,-1,-1
8,9,44,60,2,-1,-1
9,8,44,60,2,-1,-1
8,13,27,57,2,-1,-1
13,8,27,57,2,-1,-1
8,14,34,10,2,-1,-1
14,8,34,10,2,-1,-1
8,16,35,45,2,-1,-1
16,8,35,45,2,-1,-1
9,13,63,39,2,-1,-1
13,9,63,39,2,-1,-1
9,15,58,32,2,-1,-1
15,9,58,32,2,-1,-1
9,16,28,26,2,-1,-1
16,9,28,26,2,-1,-1
9,17,25,70,2,-1,-1
17,9,25,70,2,-1,-1
9,19,34,46,2,-1,-1
19,9,34,46,2,-1,-1
10,11,22,66,2,-1,-1
11,10,22,66,2,-1,-1
10,13,32,120,2,-1,-1
