x,y,SR_demand,exits,injured
0.5121141469372054,0.8728274615930357,95,0,1
0.6000520232453187,0.30049962774714123,106,0,1
0.9310692911547,0.8766028849167685,109,0,1
0.3288933828352536,0.23787056998242084,83,0,1
0.6536148590424786,0.6584376297619761,89,0,1
0.1547758215433882,0.8731556720388831,108,0,1
0.46244072514132495,0.1415488453720728,92,0,1
0.8213502599150373,0.6607977846133387,126,0,1
0.2195208991946368,0.8882885579626,98,0,1
0.8866223465913423,0.40589453368890493,95,0,1
0.5999890661022956,0.7431774320756465,114,0,1
0.44709918642056257,0.4293399391742636,100,0,1
0.6253545863444127,0.778523436315378,100,0,1
0.33526616012955446,0.09087471946840775,105,0,1
0.8151206515396207,0.3349476000755969,99,0,1
0.21288806827673634,0.5650781169878042,104,0,1
0.21506920149541486,0.7556190032477373,88,0,1
0.7410766583920745,0.5543111088779566,116,0,1
0.0,0.0,0,1,0
0.5,0.0,0,1,0
0.0,1.0,0,1,0
0.5,1.0,0,1,0
