from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,35,44,2,-1,-1
0,4,11,50,2,-1,-1
0,5,17,52,2,-1,-1
0,6,4,55,2,-1,-1
0,7,20,82,2,-1,-1
0,8,36,45,2,-1,-1
1,4,35,89,2,-1,-1
1,6,28,37,2,-1,-1
1,8,7,49,2,-1,-1
2,4,41,1,2,-1,-1
2,7,14,34,2,-1,-1
2,8,4,6,2,-1,-1
4,8,42,57,2,-1,-1
4,9,38,11,2,-1,-1
5,6,12,52,2,-1,-1
5,7,22,41,2,-1,-1
6,9,32,30,2,-1,-1
2,0,35,44,2,-1,-1
4,0,11,50,2,-1,-1
5,0,17,52,2,-1,-1
6,0,4,55,2,-1,-1
7,0,20,82,2,-1,-1
8,0,36,45,2,-1,-1
4,1,35,89,2,-1,-1
6,1,28,37,2,-1,-1
8,1,7,49,2,-1,-1
4,2,41,1,2,-1,-1
7,2,14,34,2,-1,-1
8,2,4,6,2,-1,-1
8,4,42,57,2,-1,-1
9,4,38,11,2,-1,-1
6,5,12,52,2,-1,-1
7,5,22,41,2,-1,-1
9,6,32,30,2,-1,-1
