from,to,t0,c0,lanes,initial_SR,initial_FR
0,6,7,18,2,-1,-1
0,7,40,4,2,-1,-1
0,13,7,51,2,-1,-1
0,14,44,31,2,-1,-1
0,15,33,45,2,-1,-1
0,18,19,59,2,-1,-1
0,19,20,39,2,-1,-1
1,3,12,27,2,-1,-1
1,7,13,47,2,-1,-1
1,11,45,54,2,-1,-1
1,15,23,73,2,-1,-1
1,21,16,48,2,-1,-1
2,3,25,37,2,-1,-1
2,13,35,19,2,-1,-1
2,16,26,11,2,-1,-1
2,20,31,37,2,-1,-1
3,4,31,22,2,-1,-1
3,5,46,74,2,-1,-1
3,6,47,44,2,-1,-1
3,7,14,72,2,-1,-1
3,8,25,57,2,-1,-1
3,10,45,79,2,-1,-1
4,12,5,71,2,-1,-1
4,16,31,41,2,-1,-1
4,19,24,75,2,-1,-1
5,7,40,49,2,-1,-1
5,11,14,52,2,-1,-1
5,15,31,61,2,-1,-1
6,11,43,80,2,-1,-1
6,15,28,41,2,-1,-1
6,18,26,55,2,-1,-1
6,19,24,54,2,-1,-1
7,14,28,71,2,-1,-1
7,17,36,57,2,-1,-1
8,12,10,54,2,-1,-1
8,16,26,68,2,-1,-1
9,12,30,66,2,-1,-1
9,14,45,40,2,-1,-1
10,11,10,49,2,-1,-1
10,13,45,77,2,-1,-1
10,15,33,51,2,-1,-1
10,19,24,41,2,-1,-1
11,19,31,65,2,-1,-1
13,17,23,114,2,-1,-1
13,18,24,78,2,-1,-1
13,20,41,35,2,-1,-1
14,15,22,30,2,-1,-1
17,20,17,45,2,-1,-1
6,0,7,18,2,-1,-1
7,0,40,4,2,-1,-1
13,0,7,51,2,-1,-1
14,0,44,31,2,-1,-1
15,0,33,45,2,-1,-1
18,0,19,59,2,-1,-1
19,0,20,39,2,-1,-1
3,1,12,27,2,-1,-1
7,1,13,47,2,-1,-1
11,1,45,54,2,-1,-1
15,1,23,73,2,-1,-1
21,1,16,48,2,-1,-1
3,2,25,37,2,-1,-1
13,2,35,19,2,-1,-1
16,2,26,11,2,-1,-1
20,2,31,37,2,-1,-1
4,3,31,22,2,-1,-1
5,3,46,74,2,-1,-1
6,3,47,44,2,-1,-1
7,3,14,72,2,-1,-1
8,3,25,57,2,-1,-1
10,3,45,79,2,-1,-1
12,4,5,71,2,-1,-1
16,4,31,41,2,-1,-1
19,4,24,75,2,-1,-1
7,5,40,49,2,-1,-1
11,5,14,52,2,-1,-1
15,5,31,61,2,-1,-1
11,6,43,80,2,-1,-1
15,6,28,41,2,-1,-1
18,6,26,55,2,-1,-1
19,6,24,54,2,-1,-1
14,7,28,71,2,-1,-1
17,7,36,57,2,-1,-1
12,8,10,54,2,-1,-1
16,8,26,68,2,-1,-1
12,9,30,66,2,-1,-1
14,9,45,40,2,-1,-1
11,10,10,49,2,-1,-1
13,10,45,77,2,-1,-1
15,10,33,51,2,-1,-1
19,10,24,41,2,-1,-1
19,11,31,65,2,-1,-1
17,13,23,114,2,-1,-1
18,13,24,78,2,-1,-1
20,13,41,35,2,-1,-1
15,14,22,30,2,-1,-1
20,17,17,45,2,-1,-1
