from,to,t0,c0,lanes,initial_SR,initial_FR
0,2,28,10,2,-1,-1
0,10,45,62,2,-1,-1
1,5,40,49,2,-1,-1
2,3,43,13,2,-1,-1
2,4,36,68,2,-1,-1
2,6,29,60,2,-1,-1
3,4,29,51,2,-1,-1
3,7,13,19,2,-1,-1
3,8,36,54,2,-1,-1
3,10,20,71,2,-1,-1
4,7,28,32,2,-1,-1
5,6,23,42,2,-1,-1
5,7,23,44,2,-1,-1
5,8,6,32,2,-1,-1
6,8,16,32,2,-1,-1
7,8,25,57,2,-1,-1
8,9,18,65,2,-1,-1
2,0,28,10,2,-1,-1
10,0,45,62,2,-1,-1
5,1,40,49,2,-1,-1
3,2,43,13,2,-1,-1
4,2,36,68,2,-1,-1
6,2,29,60,2,-1,-1
4,3,29,51,2,-1,-1
7,3,13,19,2,-1,-1
8,3,36,54,2,-1,-1
10,3,20,71,2,-1,-1
7,4,28,32,2,-1,-1
6,5,23,42,2,-1,-1
7,5,23,44,2,-1,-1
8,5,6,32,2,-1,-1
8,6,16,32,2,-1,-1
8,7,25,57,2,-1,-1
9,8,18,65,2,-1,-1
