from,to,t0,c0,lanes,initial_SR,initial_FR
0,1,3,40,2,-1,-1
0,5,30,62,2,-1,-1
0,13,39,31,2,-1,-1
1,5,33,53,2,-1,-1
1,7,32,54,2,-1,-1
1,12,18,55,2,-1,-1
1,20,13,7,2,-1,-1
1,21,29,81,2,-1,-1
2,6,34,42,2,-1,-1
2,7,23,52,2,-1,-1
2,8,13,64,2,-1,-1
2,11,32,56,2,-1,-1
2,13,38,35,2,-1,-1
2,16,14,55,2,-1,-1
2,17,13,39,2,-1,-1
3,8,18,39,2,-1,-1
3,15,5,67,2,-1,-1
4,5,11,78,2,-1,-1
4,10,13,18,2,-1,-1
4,11,19,56,2,-1,-1
4,12,28,41,2,-1,-1
4,13,14,41,2,-1,-1
4,21,17,50,2,-1,-1
5,6,21,0,2,-1,-1
5,10,6,25,2,-1,-1
5,15,42,33,2,-1,-1
5,16,37,20,2,-1,-1
6,9,19,40,2,-1,-1
6,13,11,73,2,-1,-1
6,15,33,54,2,-1,-1
6,21,35,5,2,-1,-1
7,9,22,76,2,-1,-1
7,14,27,29,2,-1,-1
8,13,26,32,2,-1,-1
8,18,33,51,2,-1,-1
9,10,15,51,2,-1,-1
9,11,18,41,2,-1,-1
9,12,27,55,2,-1,-1
9,16,41,47,2,-1,-1
9,21,21,25,2,-1,-1
10,12,16,51,2,-1,-1
10,15,46,48,2,-1,-1
10,21,7,51,2,-1,-1
11,13,16,50,2,-1,-1
11,20,32,45,2,-1,-1
11,21,15,65,2,-1,-1
12,13,24,47,2,-1,-1
12,16,32,33,2,-1,-1
12,18,47,64,2,-1,-1
12,20,26,40,2,-1,-1
12,21,19,47,2,-1,-1
13,15,39,25,2,-1,-1
13,16,32,96,2,-1,-1
14,18,20,52,2,-1,-1
14,21,46,57,2,-1,-1
15,16,8,48,2,-1,-1
15,18,21,40,2,-1,-1
17,18,7,70,2,-1,-1
18,19,30,59,2,-1,-1
1,0,3,40,2,-1,-1
5,0,30,62,2,-1,-1
13,0,39,31,2,-1,-1
5,1,33,53,2,-1,-1
7,1,32,54,2,-1,-1
12,1,18,55,2,-1,-1
20,1,13,7,2,-1,-1
21,1,29,81,2,-1,-1
6,2,34,42,2,-1,-1
7,2,23,52,2,-1,-1
8,2,13,64,2,-1,-1
11,2,32,56,2,-1,-1
13,2,38,35,2,-1,-1
16,2,14,55,2,-1,-1
17,2,13,39,2,-1,-1
8,3,18,39,2,-1,-1
15,3,5,67,2,-1,-1
5,4,11,78,2,-1,-1
10,4,13,18,2,-1,-1
11,4,19,56,2,-1,-1
12,4,28,41,2,-1,-1
13,4,14,41,2,-1,-1
21,4,17,50,2,-1,-1
6,5,21,0,2,-1,-1
10,5,6,25,2,-1,-1
15,5,42,33,2,-1,-1
16,5,37,20,2,-1,-1
9,6,19,40,2,-1,-1
13,6,11,73,2,-1,-1
15,6,33,54,2,-1,-1
21,6,35,5,2,-1,-1
9,7,22,76,2,-1,-1
14,7,27,29,2,-1,-1
13,8,26,32,2,-1,-1
18,8,33,51,2,-1,-1
10,9,15,51,2,-1,-1
11,9,18,41,2,-1,-1
12,9,27,55,2,-1,-1
16,9,41,47,2,-1,-1
21,9,21,25,2,-1,-1
12,10,16,51,2,-1,-1
15,10,46,48,2,-1,-1
21,10,7,51,2,-1,-1
13,11,16,50,2,-1,-1
20,11,32,45,2,-1,-1
21,11,15,65,2,-1,-1
13,12,24,47,2,-1,-1
16,12,32,33,2,-1,-1
18,12,47,64,2,-1,-1
20,12,26,40,2,-1,-1
21,12,19,47,2,-1,-1
15,13,39,25,2,-1,-1
16,13,32,96,2,-1,-1
18,14,20,52,2,-1,-1
21,14,46,57,2,-1,-1
16,15,8,48,2,-1,-1
18,15,21,40,2,-1,-1
18,17,7,70,2,-1,-1
19,18,30,59,2,-1,-1
