from,to,t0,c0,lanes,initial_SR,initial_FR
0,3,18,41,2,-1,-1
0,4,35,0,2,-1,-1
0,6,11,57,2,-1,-1
1,4,19,78,2,-1,-1
1,5,17,49,2,-1,-1
1,6,16,37,2,-1,-1
2,4,27,10,2,-1,-1
2,6,13,29,2,-1,-1
2,7,14,55,2,-1,-1
2,8,20,61,2,-1,-1
3,8,21,35,2,-1,-1
6,9,41,65,2,-1,-1
7,10,47,75,2,-1,-1
3,0,18,41,2,-1,-1
4,0,35,0,2,-1,-1
6,0,11,57,2,-1,-1
4,1,19,78,2,-1,-1
5,1,17,49,2,-1,-1
6,1,16,37,2,-1,-1
4,2,27,10,2,-1,-1
6,2,13,29,2,-1,-1
7,2,14,55,2,-1,-1
8,2,20,61,2,-1,-1
8,3,21,35,2,-1,-1
9,6,41,65,2,-1,-1
10,7,47,75,2,-1,-1
